image,before_psnr,after_psnr,before_ssim,after_ssim,before_uciqe,after_uciqe,before_uiqm,after_uiqm
528_img_.png,10.605880911973832,11.531765595654203,0.6395076,0.6750966,3.2344005,3.869575,0.45598750843275276,0.711901317358365
52_img_.png,15.52076827980926,17.61210043699642,0.707558,0.8940546,3.5460598,3.5513418,0.511538624415954,0.8098041539457691
530_img_.png,18.801162178075916,17.96474460684768,0.84889764,0.7804361,6.9779897,6.9487166,0.5564226729966107,0.6457760690822918
531_img_.png,15.921473873260961,14.753086763799141,0.80936414,0.7240364,3.8244226,3.8401592,0.8244937757791635,0.7258234812425727
532_img_.png,16.262790130747014,19.189982626166127,0.6098559,0.87921125,4.644374,4.433211,0.46576430029393323,0.6116377043330258
533_img_.png,12.770520695390468,16.592861679252483,0.5474083,0.8692579,4.932728,4.928768,0.48327426721744005,0.6919941485848479
534_img_.png,15.197712709088986,14.782878875572036,0.82483625,0.84398866,3.6666589,3.7244396,0.4580487159302656,0.5289647163949333
535_img_.png,15.988462408698435,15.803194006205562,0.7075479,0.82184094,2.3100154,2.2279992,0.4692802272924488,0.5282208766338345
536_img_.png,19.444459205438275,18.813853984832644,0.8548839,0.85800695,4.104333,4.0328712,0.48753593151491476,0.8028187890563727
537_img_.png,15.924967811395367,16.088808788594804,0.76541,0.78155655,2.3041298,2.2907345,0.5134937677467283,0.8229829735715933
538_img_.png,15.065246488241312,16.09606206268745,0.6802902,0.796001,1.7647176,2.1534014,0.4079706980878898,0.7221350574017896
539.png,15.400711248301155,17.84328462187392,0.6821968,0.8509981,4.1861663,4.2232428,0.5596432438486179,0.7500154513583948
539_img_.png,16.939849515587397,15.33412520287701,0.8060438,0.7466704,6.095343,5.7822285,0.6190552069014763,0.7888478572467413
53_img_.png,11.031793503233596,15.136707209128913,0.49377084,0.78856564,2.847509,2.8717597,0.638128804717129,0.8721464617386953
540_img_.png,13.808551188253146,15.747711464658952,0.66445374,0.8125525,2.166485,2.3013816,0.3749407679142422,0.6340533876073012
541_img_.png,15.27754278770497,15.70147736022151,0.6511169,0.762091,2.3073409,2.5893972,0.4199130756362335,0.6937768447579796
542_img_.png,14.098261828333783,16.385203784420185,0.6776363,0.7822431,1.8370129,2.0268123,0.43690124674080405,0.7675571141329482
543_img_.png,13.251008069983921,13.457390770597906,0.63707197,0.6778388,2.6641219,2.9874585,0.5034171529162325,0.7112874210264699
544_img_.png,10.713232639566844,11.883510732001984,0.6134467,0.70633125,1.301329,1.4841344,0.18279346479568212,0.30492682713538083
545_img_.png,11.664572649961729,13.34999755160238,0.61241436,0.71648663,0.8589066,1.2290065,0.11494578227794902,0.3189155051933734
546_img_.png,13.803097807594146,15.430905601410137,0.46592513,0.7707327,1.7742275,2.2362297,0.4164607147567021,0.5957559536561611
547_img_.png,19.060549522534654,24.174358125320726,0.75237006,0.9461193,3.4050312,3.425198,0.5533777196815872,0.803882051571118
549_img_.png,13.285700623561114,17.148348222493713,0.61517197,0.80615634,1.688277,1.9222286,0.1879904448923085,0.42131487981114357
550_img_.png,13.66398838101337,15.173808630636865,0.59646994,0.7328097,2.3497677,2.6037729,0.3464023744632262,0.6096462581522369
551_img_.png,11.779628616874652,14.218161677492764,0.54003805,0.76875836,2.289965,2.5248117,0.4183064730545877,0.7827185246161011
552_img_.png,16.166757624065994,17.241492610895573,0.7570908,0.78714705,1.9319032,2.2727227,0.4122200362236803,0.7156806381471752
554_img_.png,17.977273422349455,17.23246229379506,0.8113866,0.7977627,5.333735,5.084668,0.5964469632539103,0.799525344821975
5554.png,21.36965151393349,18.210023563622794,0.94297266,0.851216,4.207802,4.2398634,0.5065723171618798,0.5255139955824241
555_img_.png,13.287712129745133,13.106851019379274,0.57664275,0.6656685,2.3141541,2.3544645,0.6482599965740755,0.7574256220707983
556_img_.png,18.03091583106648,25.41495637177174,0.6670904,0.9384165,4.9565444,4.934597,0.6246748882845484,0.7852888445576712
557.png,11.675513619109442,17.38666151303527,0.62349296,0.90588456,5.620839,5.6576853,0.4429507848356489,0.777324354682211
557_img_.png,14.912559798404166,18.32720711867784,0.5356997,0.83137053,2.491385,2.7399395,0.37850155256612467,0.66006442223409
558_img_.png,13.159833088895837,15.376724230202113,0.46936557,0.75093776,2.3497677,2.6037729,0.3464023744632262,0.6096462581522369
559.png,11.593923509827395,17.657659588491256,0.60935926,0.9005392,4.2588625,4.2937303,0.47510246954177343,0.8061565983979759
55_img_.png,18.692767914399802,18.07685029118013,0.864495,0.904089,3.4885235,3.4857497,0.6588106180736233,0.916586010301091
560_img_.png,17.509785987543005,18.76715494545625,0.7243212,0.84656835,4.9344788,4.991738,0.36454112139370154,0.6346574946130146
561_img_.png,18.054527941943274,19.876318274336175,0.6515135,0.81845456,2.3297265,2.525581,0.2012507781875658,0.4360167228322038
562_img_.png,14.24108441718116,13.999979008793165,0.6327884,0.67615134,4.103049,4.158619,0.47973085586407654,0.5540101392814403
563.png,16.107425396100453,19.468583663084324,0.83573073,0.9377968,4.602885,4.653045,0.6213764095438356,0.7410830601770156
563_img_.png,10.855517559629138,12.1923709699044,0.6022386,0.71201926,1.5535818,1.7652373,0.21712097708982803,0.38370068506743793
564_img_.png,12.36058368089241,13.513969439424745,0.62211996,0.71223575,1.7643287,1.8595968,0.26672224755485346,0.3694023862650912
566_img_.png,21.42472625412124,19.356805109403787,0.92127913,0.8693077,6.880838,6.872887,0.4187348111077619,0.5857427260148449
567.png,14.710580091256498,20.4089419454056,0.76258636,0.9416854,4.2708035,4.3333783,0.5261472892030408,0.6954293249696166
567_img_.png,17.686547556567987,20.16066034232925,0.9145549,0.93546057,2.3071227,2.3548424,0.07431916180048334,0.14772756102400725
568_img_.png,17.37109127392816,19.508222173197794,0.9151167,0.93204945,1.9505205,2.009739,0.06243561493133277,0.12848611776904223
569_img_.png,19.667137807679783,18.371729397931176,0.80721754,0.7029538,2.6008215,2.6268706,0.23844124657898796,0.367460880370487
56_img_.png,17.606803890049868,18.428373729594668,0.71944255,0.84720844,3.5517857,3.5752053,0.3610177925197913,0.592517525385205
570_img_.png,15.139364353845782,17.65447217592312,0.7570998,0.9146244,2.4514673,2.5344274,0.2430943535882416,0.49629508859742716
571_img_.png,12.779691213665687,14.40658803802901,0.7331681,0.86831766,2.8792505,2.9551375,0.3319099189629031,0.5436142323912692
572_img_.png,21.666057987999064,19.049391035229533,0.9314873,0.8704428,5.2350817,5.2379394,0.4481437549133958,0.6842611585303282
573_img_.png,20.29719378025396,21.97179286317921,0.8974498,0.91655606,2.6031199,2.6627297,0.1381861917333109,0.2791339997457874
574_img_.png,9.088205359461,10.638539130464086,0.6335628,0.7443466,2.1404614,2.1752589,0.29338675872335507,0.33064789127749167
575_img_.png,12.817551544749815,15.074840480219283,0.7129352,0.86706924,2.2672153,2.3573942,0.19931177711640696,0.38595977777423085
576_img_.png,15.75103526911618,19.877081486058678,0.6979391,0.9533072,1.8577409,1.9508423,0.26875735443437054,0.5349968324731491
577_img_.png,14.087118376316102,15.157087287221485,0.6974786,0.84233975,2.2087235,2.259913,0.18821434880047985,0.23866276918154436
578_img_.png,14.18031859078229,15.191042782831182,0.74786335,0.82327193,4.8189445,4.8293743,0.28384131582934036,0.4201867271922163
579_img_.png,13.140241512344634,14.640643999584562,0.75750613,0.8593025,1.7353884,1.8063315,0.29778962415589433,0.4400869412133566
57_img_.png,13.593704072610812,13.457584493287216,0.82473063,0.80227,2.8590548,2.8045094,0.6190982448474387,0.7316913905384292
580_img_.png,15.594851901619,16.2204898499863,0.8137266,0.87169665,1.7266527,1.7825142,0.2504307090739382,0.3282569489113448
5818.png,18.5764481473962,18.076192357445578,0.9286537,0.9035873,3.9058125,3.9494517,0.3068284200274413,0.41131113876716086
581_img_.png,18.64744496386697,19.08376346666342,0.836534,0.93516475,2.3768523,2.4080505,0.5132681469221814,0.552134164829441
582_img_.png,14.928600192689746,14.487677201296705,0.69117165,0.7910364,2.8726301,2.872329,0.46848886524572236,0.6550381253846197
5830.png,16.948203063390043,16.5396885971888,0.9210054,0.90183085,2.9040253,2.9407296,0.2721284231428223,0.33988461754005206
583_img_.png,17.14004251110073,19.011172638127118,0.8758306,0.8721876,3.8747215,3.8888729,0.4562383976881417,0.6282161586664325
584_img_.png,15.888276688225185,14.865880902778914,0.7390632,0.7951873,2.934505,2.9689536,0.5765965505850943,0.6795496178996584
585_img_.png,16.22381087676529,15.920923234289138,0.7230816,0.85813755,1.9400721,1.9666647,0.5126248706511868,0.7048803603322574
586_img_.png,10.34237578616313,14.00954286230047,0.43819597,0.78316617,1.0578485,1.1387857,0.24827278640562614,0.509418776021654
587_img_.png,18.19066152231898,17.75028452926232,0.8259614,0.87189054,2.2393203,2.283695,0.4523711979329365,0.7279498776611113
588_img_.png,14.706078501088665,16.365586706699865,0.65494174,0.8562482,2.8505013,2.9120202,0.46376817099489615,0.7472002403183519
589_img_.png,15.607741218841706,17.44118865172934,0.72291416,0.9430023,2.0112076,2.0656319,0.2920802007122355,0.44347046363460446
58_img_.png,15.532914629427335,15.663838523951124,0.7283466,0.83333445,3.5860357,3.590276,0.5170029064016273,0.7550364719600318
590_img_.png,13.282371997356801,13.662761729096074,0.5773557,0.7847406,1.9633486,2.0127325,0.4130700058059394,0.5668225505111314
591_img_.png,15.407880994516372,14.923102332859111,0.67669505,0.8144674,2.680749,2.7065914,0.5140321709600113,0.7065589534727216
592_img_.png,15.95859939540443,15.811444486849837,0.8103284,0.88081616,1.9244773,1.9732567,0.33107065401588465,0.5000616135306738
593_img_.png,14.253796927121194,14.860475912926972,0.6767698,0.8260105,2.1361513,2.1960342,0.5311195978706935,0.7278939811863046
594_img_.png,15.405777026927671,16.061411544809403,0.6941182,0.86321515,1.8023614,1.8352497,0.5088487115288193,0.7997420751006076
595_img_.png,14.51690184530179,15.658805026919342,0.67254347,0.8624498,1.8829188,1.9345307,0.5002433645536561,0.7683462807981624
596_img_.png,13.661891446789749,15.038338258829963,0.57853264,0.8084252,2.120556,2.1751332,0.3970870453733771,0.6797129049175293
597_img_.png,14.218070144534101,13.951414647894593,0.7175717,0.7858463,1.4640524,1.5364941,0.5557424178665686,0.7192567554505666
598.png,16.78024792760999,20.05532923221221,0.8315804,0.8798292,8.723641,8.765005,0.45348037691464477,0.7122599467113175
598_img_.png,13.994979964352606,14.652624584220057,0.6185238,0.8095024,1.5403665,1.6016042,0.483494503294414,0.6557237229830176
599_img_.png,18.41545451334121,20.13716100883627,0.8001712,0.9584277,2.7436137,2.8073819,0.3761916309693972,0.5654482764609016
59_img_.png,21.4585386046206,26.364123062646513,0.8492964,0.9651947,9.916654,9.790358,0.7552945882192706,0.8913286720828885
600_img_.png,13.646618384056712,15.705062886764969,0.52177197,0.81914026,2.1190119,2.1797276,0.34789191717194107,0.624951274409986
601_img_.png,13.69018768988036,15.886118231127002,0.5119079,0.8143101,2.5954638,2.6428924,0.31652476667487023,0.58668103967572
602_img_.png,14.266442062946442,14.684914664565854,0.64931184,0.84067893,1.5817903,1.6461589,0.4667349400152696,0.6654685784298787
603_img_.png,15.576535331573659,16.342230124913094,0.6979261,0.85801655,1.8112496,1.841323,0.517306485714605,0.7710514178378852
604_img_.png,16.143661747170903,15.129498588202367,0.7603734,0.82682663,1.9029871,1.9421296,0.6008991260521426,0.7338106365388545
605_img_.png,14.637196529344658,15.369753475769482,0.678423,0.8357435,3.1497178,3.1865292,0.4668000424798498,0.7168620804260627
6062.png,15.736027761338999,15.731930338371662,0.8531976,0.81515664,15.318038,15.001719,0.47974502079246933,0.5739883811675467
606_img_.png,17.116766886497672,18.71026543458602,0.7691228,0.94804925,3.7258801,3.7922812,0.30904665241763873,0.5828969930084481
607_img_.png,14.93581840658046,15.270947299318182,0.73539037,0.87062484,1.0667429,1.1360409,0.3990756722542647,0.5242310368950281
6082.png,21.082206642203566,20.031808683886485,0.9656958,0.8933468,4.1983414,4.244385,0.4617069302416788,0.5499703442490055
608_img_.png,13.208474552207523,14.793399151121754,0.43003023,0.71149224,2.198399,2.2610478,0.20988157395433246,0.41709663111912876
609_img_.png,14.19956912663255,15.850193838037395,0.6287064,0.8468926,2.37077,2.4323554,0.4415491266387804,0.7334820642466281
60_img_.png,19.544005440979145,16.283340022509282,0.9097061,0.7320234,6.465093,6.389543,0.7188710294669102,0.8343610578721011
610_img_.png,21.48980165084927,21.45888087155345,0.95409983,0.87662846,5.9511065,5.9435263,0.5477352355574507,0.6491207122478901
611_img_.png,18.158908101502092,19.192169431271683,0.9123306,0.8394036,4.02851,4.0546527,0.6369709076945954,0.7833666832222087
612_img_.png,16.434209575836146,18.03189591407928,0.787996,0.90885717,2.9893208,3.0430474,0.30052972096749936,0.5649480902368526
613_img_.png,17.097602304813076,17.237325702648526,0.84866935,0.8999072,2.6430855,2.6830208,0.24449938932693957,0.42161572584035406
614_img_.png,15.74009434454708,16.126109080784275,0.819505,0.87664634,2.1042771,2.14826,0.4624318615611084,0.5945490307364932
615_img_.png,16.27574241148052,17.769595119763125,0.77908534,0.938251,1.9670483,2.0467985,0.4398763705664324,0.547280864006663
616_img_.png,13.39366708178975,13.648811682160556,0.7870405,0.8387675,1.8850008,1.9280121,0.5197258486606878,0.6675255000497454
617_img_.png,19.852957711554563,20.432656180219265,0.8632831,0.9254834,2.6888068,2.7706275,0.1989083933548268,0.38296493875125637
618_img_.png,15.473097373509885,15.614317547009538,0.73632604,0.8684222,1.5341588,1.5972859,0.4507193165183798,0.6653464075992032
619_img_.png,14.731951840303166,15.526715960905888,0.67957693,0.8250897,1.9464866,1.9926362,0.37891762812427665,0.4436864728624913
61_img_.png,12.919749817283172,13.500187503756464,0.65520746,0.6781845,5.4532847,5.5756125,0.5883360798433135,0.6957186586701086
620_img_.png,16.615783690641862,17.712686122303168,0.6075712,0.82921904,1.7187117,1.7645864,0.44883071196692376,0.5506834955192864
621_img_.png,14.132403866645264,17.111306447978414,0.55034333,0.8191517,2.1855388,2.2432673,0.3839335924042478,0.5440260866172465
622_img_.png,20.240215079831422,20.49840118449335,0.906653,0.7848932,6.584826,6.4050536,0.7695548293435863,0.8440226724621395
623_img_.png,15.253912335979711,19.36629869563638,0.6288583,0.87824446,2.6069958,2.655625,0.47658651476114094,0.6693242780079645
625_img_.png,17.66744981808865,21.50582399424735,0.8471592,0.9529622,2.2188773,2.2848535,0.6108390187116958,0.7478466856780805
626_img_.png,16.03793695384973,20.138503897210953,0.6359529,0.9151487,2.5449004,2.603157,0.4915774842434571,0.720218804835163
627_img_.png,16.151405532848383,16.784310038177285,0.8455631,0.88209146,2.648485,2.6952531,0.2486245770653752,0.3687140628094257
628_img_.png,13.882175588602584,14.83533059201887,0.73949647,0.8179832,1.9066391,1.9549277,0.3942605483555899,0.6211346442749706
629_img_.png,18.240339230754053,18.704245533742974,0.8354976,0.8935606,2.5333145,2.574543,0.4241536255818008,0.6299625273736226
62_img_.png,11.105027123514006,13.131698518326452,0.69256526,0.8382556,6.3319135,6.40499,0.21576924330890074,0.4722842477147357
630_img_.png,14.713097776802243,14.799087089340821,0.7475853,0.8098094,1.1452626,1.203758,0.5381785743825311,0.705325306937196
631_img_.png,16.56902761413698,17.435332293157373,0.820508,0.8716137,2.078787,2.132211,0.5201145419116238,0.8250683525958109
632_img_.png,21.538394603156263,23.219552091106767,0.7738978,0.932355,4.3889217,4.378002,0.8901342677932859,0.9374288330364873
633_img_.png,14.53885782084039,17.890547305161565,0.5282605,0.8651672,3.1227467,3.1747937,0.3364412933727358,0.6262870458301568
634_img_.png,15.35941976080462,17.005806997211668,0.5470491,0.8447643,1.8654637,1.9234973,0.403129647043012,0.5699784488964901
635_img_.png,15.221685835554169,16.060712449773348,0.6029548,0.8300624,2.3486648,2.379668,0.4391023680625266,0.5254804421590111
